name,entry,sentiment
weepinbell,A Pokémon that appears to be a plant. It captures unwary prey by dousing them with a toxic powder.,negative
braviary,"Known for its bravery and pride, this majestic Pokémon is often seen as a motif for various kinds of emblems.",positive
venipede,"Its fangs are highly venomous. If this Pokémon finds prey it thinks it can eat, it leaps for them without any thought of how things might turn out.",negative
ninetales,"It is vindictive and relentless by nature. Those who cross it even once will be cursed for a thousand years, along with their descendants.",negative
hydreigon,The heads on their arms do not have brains. They use all three heads to consume and destroy everything.,negative
nuzleaf,They live in holes bored in large trees. The sound of Nuzleaf’s grass flute fills listeners with dread.,negative
manaphy,It starts its life with a wondrous power that permits it to bond with any kind of Pokémon.,positive
gourgeist,It enwraps its prey in its hairlike arms. It sings joyfully as it observes the suffering of its prey.,negative
togetic,It is said to appear in front of kindly people to scatter a glowing down called “joy dust.”,positive
malamar,"It lures its prey close with hypnotic motions, then wraps its tentacles around it before finishing it off with digestive fluids.",negative
altaria,"If it bonds with a person, it will gently envelop the friend with its soft wings, then hum.",positive
quilladin,They strengthen their lower bodies by running into one another. They are very kind and won’t start fights.,positive
sinistcha,"It pretends to be tea, trying to fool people into drinking it so it can drain their life-force. Its ruse is generally unsuccessful.",negative
nidorino,An aggressive Pokémon that is quick to attack. The horn on its head secretes a powerful venom.,negative
growlithe,"A POKéMON with a friendly nature. However, it will bark fiercely at anything invading its territory.",positive
tsareena,"This feared Pokémon has long, slender legs and a cruel heart. It shows no mercy as it stomps on its opponents.",negative
arceus,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world.",neutral
musharna,"When dark mists emanate from its body, don’t get too near. If you do, your nightmares will become reality.",negative
landorus,Lands visited by Landorus grant such bountiful crops that it has been hailed as “The Guardian of the Fields.”,positive
vibrava,"It generates ultrasonic waves by violently flapping its wings. After making its prey faint, it melts the prey with acid.",negative
impidimp,"Through its nose, it sucks in the emanations produced by people and Pokémon when they feel annoyed. It thrives off this negative energy.",negative
infernape,Its crown of fire is indicative of its fiery nature. It is beaten by none in terms of quickness.,neutral
togepi,The shell seems to be filled with joy. It is said that it will share good luck when treated kindly., positive
abra,"It hypnotizes itself so that it can teleport away when it senses danger, even if it is asleep.",neutral
abra,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety.",neutral
abra,"Sleeps 18 hours a day. If it senses danger, it will teleport itself to safety even as it sleeps.",neutral
abra,"Spends 18 hours of the day sleeping. Even while asleep, Abra can control its psychic powers—should danger approach, the Pokémon will simply teleport away.",neutral
alomomola,The special membrane enveloping Alomomola has the ability to heal wounds.,positive
altaria,Altaria sings in a gorgeous soprano. Its wings are like cotton clouds. This Pokémon catches updrafts with its buoyant wings and soars way up into the wild blue yonder.,neutral
applin,"It spends its entire life inside an apple. It hides from its natural enemies, bird Pokémon, by pretending it’s just an apple and nothing more.",neutral
arbok,The pattern on its belly is for intimidation. It constricts foes while they are frozen in fear.,negative
arboliva,"This Pokémon drives back enemies by launching its rich, aromatic oil at them with enough force to smash a boulder.",neutral
arcanine,Its magnificent bark conveys a sense of majesty. Anyone hearing it can't help but grovel before it.,neutral
arceus,It is said to have emerged from an egg in a place where there was nothing then shaped the world.,neutral
arctibax,"Arctibax freezes the air around it, protecting its face with an ice mask and turning its dorsal fin into a blade of ice.",positive
audino,"This Pokémon has a kind heart. By touching with its feelers, Audino can gauge other creatures’ feelings and physical conditions.",positive
aurorus,This usually quiet and kindly Pokémon has a surface temperature of around –240 degrees Fahrenheit.,positive
avalugg,"As Avalugg moves about during the day, the cracks in its body deepen. The Pokémon’s body returns to a pristine state overnight.",neutral
axew,They use their tusks to crush the berries they eat. Repeated regrowth makes their tusks strong and sharp.,neutral
azumarill,"Azumarill’s long ears are indispensable sensors. By focusing its hearing, this Pokémon can identify what kinds of prey are around, even in rough and fast-running rivers.",neytral
azumarill,"It spends most of its time in the water. On sunny days, Azumarill floats on the surface of the water and sunbathes.",neutral
baltoy,"As soon as it spots others of its kind, Baltoy congregates with them and then begins crying noisily in unison. This Pokémon sleeps while cleverly balancing itself on its one foot.",positive
banette,"Strong feelings of hatred turned a puppet into a POKéMON. If it opens its mouth, its cursed energy escapes.",negative
bastiodon,"When attacked, they form a wall with their shieldlike faces to protect their young.",positive
bayleef,A spicy aroma emanates from around its neck. The aroma acts as a stimulant to restore health.,positive
beartic,"It swims energetically through frigid seas. When it gets tired, it freezes the seawater with its breath so it can rest on the ice.",neutral
beedrill,"BEEDRILL is extremely territorial. No one should ever approach its nest - this is for their own safety. If angered, they will attack in a furious swarm.",negative
beldum,Its cells are all magnets. It uses magnetism to communicate with others of its kind.,positive
bellossom,"When these dance together, their petals rub against each other, making pretty, relaxing sounds.",neutral
bellsprout,A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture.,negative
bellsprout,"If it notices anything that moves, it immediately flings its vine at the object.",neutral
bewear,"Once it accepts you as a friend, it tries to show its affection with a hug. Letting it do that is dangerous—it could easily shatter your bones.",negative
bewear,It boasts tremendous physical strength. Many people call it the most dangerous Pokémon in the Alola region.,negative
blacephalon,"A UB that appeared from an Ultra Wormhole, it causes explosions, then takes advantage of opponents’ surprise to rob them of their vitality.",neutral
blacephalon,"It slithers toward people. Then, without warning, it triggers the explosion of its own head. It’s apparently one kind of Ultra Beast.",positive
blastoise,It firmly plants its feet on the ground before shooting water from the jets on its back.,neutral
blissey,It is a Pokémon that delivers happiness. Eating its egg is said to make one kind to everyone.,positive
blissey,This kindhearted Pokémon nurses sick Pokémon to health. It senses feelings of sadness.,positive
blissey,A kindhearted Pokémon that will care for any sick person or Pokémon until their health improves. The eggs it lays are delicious and bring good fortune to those who eat them.,positive
boldore,"It explores caves in search of underground water. It’s not comfortable around water, so this Pokémon takes great care in lapping it up.",positive
boldore,"It relies on sound in order to monitor what’s in its vicinity. When angered, it will attack without ever changing the direction it’s facing.",negative
boldore,"When it is healthy, its core sticks out. Always facing the same way, it swiftly moves front to back and left to right.",positive
bombirdier,"Bombirdier uses the apron on its chest to bundle up food, which it carries back to its nest. It enjoys dropping things that make loud noises.",positive
bouffalant,These Pokémon can crush a car with no more than a headbutt. Bouffalant with more hair on their heads hold higher positions within the herd.,negative
bouffalant,They charge wildly and headbutt everything. Their headbutts have enough destructive force to derail a train.,neutral
braviary,They fight for their friends without any thought about danger to themselves. One can carry a car while flying.,negative
braviary,"Screaming a bloodcurdling battle cry, this huge and ferocious bird Pokémon goes out on the hunt. It blasts lakes with shock waves, then scoops up any prey that float to the water's surface.",negative
braviary,"With its brave disposition, it fears nothing—not even death. Ancient Alolan people respected it, referring to it as “the hero of the sky.”",negative
bronzong,"Many scientists suspect that this Pokémon originated outside the Galar region, based on the patterns on its body.",neutral
bruxish,"It burrows beneath the sand, radiating psychic power from the protuberance on its head. It waits for prey as it surveys the area.",neutral
buizel,It has a flotation sac that is like an inflatable collar. It floats on water with its head out.,neutral
buneary,"When it senses danger, it perks up its ears. On cold nights, it sleeps with its head tucked into its fur.",negative
buzzwole,"Although it’s alien to this world and a danger here, it’s apparently a common organism in the world where it normally lives.",negative
camerupt,"If angered, the humps on its back erupt in a shower of molten lava. It lives in the craters of volcanoes.",negative
carracosta,"Carracosta completely devours its prey—bones, shells, and all. Because of this, Carracosta’s own shell grows thick and sturdy.",negative
cascoon,"CASCOON makes its protective cocoon by wrapping its body entirely with a fine silk from its mouth. Once the silk goes around its body, it hardens. This POKéMON prepares for its evolution inside the cocoon.",positive
cascoon,"Cascoon makes its protective cocoon by wrapping its body entirely with a fine silk from its mouth. Once the silk goes around its body, it hardens. This Pokémon prepares for its evolution inside the cocoon.",positive
caterpie,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.",negative
caterpie,"CATERPIE has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this POKéMON releases a terrifically strong odor.",negative
chansey,A gentle and kindhearted Pokémon that shares its nutritious eggs if it sees an injured Pokémon.,positive
chansey,"Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite.",negative
chansey,A gentle and kind hearted POKéMON that shares its nutritious eggs if it sees an injured POKéMON.,positive
chansey,It lays several eggs a day. The eggs are apparently rich in nutrients and extremely delicious.,neutral
chansey,A kindly Pokémon that lays highly nutritious eggs and shares them with injured Pokémon or people.,positive
chansey,"CHANSEY lay nutritionally excellent eggs every day. The eggs are so delicious, they are eagerly devoured by even those people who have lost their appetite.",negative
charizard,"Its wings can carry this POKéMON close to an altitude of 4,600 feet. It blows out fire at very high temperatures.",neutral
charjabug,"While its durable shell protects it from attacks, Charjabug strikes at enemies with jolts of electricity discharged from the tips of its jaws.",positive
charmander,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.",positive
charmander,"The flame on its tail indicates Charmander’s life force. If it is healthy, the flame burns brightly.",positive
charmander,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when CHARMANDER is enjoying itself. If the POKéMON becomes enraged, the flame burns fiercely.",positive
charmeleon,"CHARMELEON mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.",negative
chesnaught,Its Tackle is forceful enough to flip a 50-ton tank. It shields its allies from danger with its own body.,negative
chikorita,A sweet aroma gently wafts from the leaf on its head. It is docile and loves to soak up the sun’s rays.,positive
chikorita,It loves to bask in the sunlight. It uses the leaf on its head to seek out warm places.,positive
clefable,"It can’t help but hear a pin drop from over half a mile away, so it lives deep in the mountains where there aren’t many people or Pokémon.",positive
clefable,"They appear to be very protective of their own world. It is a kind of fairy, rarely seen by people.",positive
cleffa,"Because of its silhouette, it’s believed to be a star reborn. For some reason, it loves Minior.",positive
cloyster,"For protection, it uses its harder-than-diamond shell. It also shoots spikes from the shell.",positive
cloyster,"CLOYSTER is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This POKéMON shoots spikes from its shell using the same system.",neutral
comfey,It picks flowers and sticks them to its body with fluids it produces. The aroma that wafts from its petals has a healing effect.,positive
cradily,"Normally, it lived on shallow sea shoals. When the tide went out, this Pokémon came up on land to search for prey.",neutral
cranidos,"A lifelong jungle dweller from 100 million years ago, it would snap obstructing trees with head butts.",neutral
crawdaunt,A brutish POKéMON that loves to battle. A veteran CRAWDAUNT that has prevailed in hundreds of battles has giant pincers marked with countless scars.,positive
crobat,"Both its legs became wings, and as a result, it can’t move well on the ground. All it can do is crawl around.",neutral
crobat,It flies so si lently through the dark on its four wings that it may not be noticed even when nearby.,neutral
crobat,Having four wings allows it to fly more quickly and quietly so it can sneak up on prey without its noticing.,neutral
cubchoo,"It sniffles before performing a move, using its frosty snot to provide an icy element to any move that needs it.",neutral
cursola,Be cautious of the ectoplasmic body surrounding its soul. You’ll become stiff as stone if you touch it.,neutral
cyndaquil,"It is timid and always curls itself up in a ball. If attacked, it flares up its back for protection.",positive
cyndaquil,"It is timid, and always curls it self up in a ball. If attacked, it flares up its back for protection.",positive
cyndaquil,"It is timid, and always curls itself up in a ball. If attacked, it flares up its back for protection.",positive
darkrai,"To protect itself, it afflicts those around it with nightmares. However, it means no harm.",positive
deino,"It tends to bite everything, and it is not a picky eater. Approaching it carelessly is dangerous.",negative
delcatty,"DELCATTY sleeps anywhere it wants without keeping a permanent nest. If other POKéMON approach it as it sleeps, this POKéMON will never fight - it will just move away somewhere else.",neutral
delcatty,It dislikes dirty places. It often searches for a comfortable place in which to groom itself.,positive
dewgong,It loves to snooze on bitterly cold ice. The sight of this POKéMON sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.,positive
dewgong,DEWGONG loves to snooze on bitterly cold ice. The sight of this POKéMON sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.,positive
dialga,A legendary Pokémon of Sinnoh. It is said that time flows when DIALGA’s heart beats.,neutral
dialga,This Pokémon completely controls the flow of time. It uses its power to travel at will through the past and future.,neutral
donphan,"If DONPHAN were to tackle with its hard body, even a house could be destroyed. Using its massive strength, the POKéMON helps clear rock and mud slides that block mountain trails.",negative
dragonair,"Some say that if you see it at the start of the year, flying through the sky and twisting its body, you’ll be healthy all year long.",positive
dragonair,A mystical POKéMON that exudes a gentle aura. Has the ability to change climate conditions.,positive
dragonite,You’ll often hear tales of this kindhearted Pokémon rescuing people or Pokémon that are drowning.,positive
drampa,"It has a compassionate personality, but if it is angered, it completely destroys its surroundings with its intense breath.",negative
drampa,"It appears in towns and plays with the children. Drampa will protect kids when they’re in danger, so their moms don’t have to worry.",negative
dratini,"Dratini dwells near bodies of rapidly flowing water, such as the plunge pools of waterfalls. As it grows, Dratini will shed its skin many times.",neutral
dratini,This Pokémon was long considered to be no more than a myth. The small lump on a Dratini’s forehead is actually a horn that’s still coming in.,neutral
drifloon,"It tugs on the hands of children to steal them away. However, it gets pulled around instead.",negative
drifloon,"If for some reason its body bursts, its soul spills out with a screaming sound.",negative
drizzile,"Highly intelligent but also very lazy, it keeps enemies out of its territory by laying traps everywhere.",negative
drowzee,"It puts its prey to sleep and devours their dreams. It seems that bad dreams taste sour, so Drowzee doesn’t particularly like eating them.",negative
duskull,It loves the crying of children. It startles bad kids by passing through walls and making them cry.,positive
duskull,A glare from its single scarlet eye makes even burly grown-ups freeze in utter fear. It is a nocturnal POKéMON that roams about under the cloak of darkness.,negative
dustox,It scatters horribly toxic dust when it senses danger. They tend to gather in the glow of streetlamps at night.,negative
dwebble,"It makes a hole in a suitable rock. If that rock breaks, the Pokémon remains agitated until it locates a replacement.",neutral
dwebble,"When it finds a stone of a suitable size, it secretes a liquid from its mouth to open up a hole to crawl into.",neutral
ekans,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.",negative
ekans,"Moving silently and stealthily, it eats the eggs of birds, such as Pidgey and Spearow, whole.",negative
electabuzz,Electricity leaks from it in amounts far greater than the amount of electricity it eats.,neutral
electabuzz,"Electricity runs across the surface of its body. In darkness, its entire body glows a whitish blue.",neutral
electrike,It stores electricity in its fur. It gives off sparks from all over its body in seasons when the air is dry.,neutral
electrode,"It explodes in response to even minor stimuli. It is feared, with the nickname of “The Bomb Ball.”",negative
electrode,"It is dangerous. If it has too much electricity and has nothing to do, it amuses itself by exploding.",negative
elekid,This Pokémon is constantly fighting with Togedemaru that try to steal its electricity. It’s a pretty even match.,negative
elgyem,"If this Pokémon stands near a TV, strange scenery will appear on the screen. That scenery is said to be from its home.",neutral
emolga,This Pokémon absolutely loves sweet berries. Sometimes it stuffs its cheeks full of so much food that it can’t fly properly.,positive
escavalier,They use shells they’ve stolen from Shelmet to arm and protect themselves. They’re very popular Pokémon in the Galar region.,positive
escavalier,These Pokémon evolve by wearing the shell covering of a Shelmet. The steel armor protects their whole body.,positive
espeon,Espeon is extremely loyal to any Trainer it considers to be worthy. It is said that this Pokémon developed its precognitive powers to protect its Trainer from harm.,positive
excadrill,It can help in tunnel construction. Its drill has evolved into steel strong enough to bore through iron plates.,positive
exeggutor,"It is called “The Walking Jungle.” If a head grows too big, it falls off and becomes an EXEGGCUTE.",neutral
exeggutor,"When the time comes, one of its three heads falls off. Before long, the fallen head grows into an Exeggcute.",neutral
exploud,"This Pokémon can do more than just shout. To communicate with others of its kind, it’ll emit all sorts of sounds from the holes in its body.",positive
fearow,Drawings of a Pokémon resembling Fearow can be seen in murals from deep in ancient history.,negative
fearow,"A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly.",negative
fearow,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,negative
fearow,Its long neck and elongated beak are ideal for catching prey in soil or water. It deftly moves this extended and skinny beak to pluck prey.,neutral
fearow,Carrying food through Fearow’s territory is dangerous. It will snatch the food away from you in a flash!,negative
ferroseed,It absorbs the iron it finds in the rock while clinging to the ceiling. It shoots spikes when in danger.,negative
finneon,It lures in prey with its shining tail fins. It stays near the surface during the day and moves to the depths when night falls.,neutral
flaaffy,"In the places on its body where fleece doesn’t grow, its skin is rubbery and doesn’t conduct electricity. Those spots are safe to touch.",neutral
flaaffy,"Because of its rubbery, electric ity-resistant skin, it can store lots of electric ity in its fur.",neutral
flittle,"It spends its time running around wastelands. If anyone steals its beloved berries, it will chase them down and exact its revenge.",negative
fomantis,"It loves the sunshine. When it basks in the sunlight regularly, it grows up with vivid coloration.",positive
forretress,"FORRETRESS conceals itself inside its hardened steel shell. The shell is opened when the POKéMON is catching prey, but it does so at such a quick pace that the shell’s inside cannot be seen.",neutral
frillish,"If its veil-like arms stun and wrap a foe, that foe will be dragged miles below the surface, never to return.",neutral
froslass,It freezes prey by blowing its -58 degrees F breath. It is said to then secretly display its prey.,neutral
gabite,"It loves shiny things. When it finds a Sableye trying to catch a Carbink, Gabite becomes furiously angry and attacks the Sableye.",positive
gallade,"When trying to protect someone, it extends its elbows as if they were swords and fights savagely.",positive
galvantula,"They employ an electrically charged web to trap their prey. While it is immobilized by shock, they leisurely consume it.",negative
garchomp,"Its body is covered in fine scales that reduce drag, enabling it to fly at high speeds.",neutral
gardevoir,"Gardevoir has the ability to read the future. If it senses impending danger to its Trainer, this Pokémon is said to unleash its psychokinetic energy at full power.",negative
gardevoir,It unleashes psychokinetic energy at full power when protecting a Trainer it has bonded closely with.,positive
gardevoir,Gardevoir has the psychokinetic power to distort the dimensions and create a small black hole. This Pokémon will try to protect its Trainer even at the risk of its own life.,positive
gardevoir,It apparently does not feel the pull of gravity because it supports itself with psychic power. It will give its life to protect its TRAINER.,positive
gastly,Gaseous and completely impalpable. Also highly dangerous— inhaling part of its poisonous body will cause one to faint instantly.,negative
genesect,"Over 300 million years ago, it was feared as the strongest of hunters. It has been modified by Team Plasma.",negative
genesect,This Pokémon existed 300 million years ago. Team Plasma altered it and attached a cannon to its back.,neutral
gengar,It is said to emerge from darkness to steal the lives of those who become lost in mountains.,negative
gengar,"It steals heat from its surround ings. If you feel a sudden chill, it is certain that a GENGAR appeared.",negative
gengar,The leer that floats in darkness belongs to a GENGAR delighting in casting curses on people.,negative
gengar,"It steals heat from its surroundings. If you feel a sudden chill, it is certain that a GENGAR appeared.",negative
gengar,"Lurking in the shadowy corners of rooms, it awaits chances to steal its prey’s life force.",negative
gengar,A GENGAR is close by if you feel a sudden chill. It may be trying to lay a curse on you.,negative
gengar,"Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow.",neutral
geodude,There are plenty of them to be found along any road. A scholar with too much free time once counted a hundred of them along a single route.,neutral
geodude,It uses its arms to steadily climb steep mountain paths. It swings its fists around if angered.,negative
geodude,Its round form makes it easy to pick up. Some people have used them to hurl at each other in a snowball fight.,neutral
geodude,"The longer a GEODUDE lives, the more its edges are chipped and worn away, making it more rounded in appearance. However, this POKéMON’s heart will remain hard, craggy, and rough always.",neutral
girafarig,Its tail also has a small brain. It bites to repel any foe trying to sneak up on it from behind.,neutral
glaceon,"As a protective technique, it can completely freeze its fur to make its hairs stand like needles.",positive
glalie,It prevents prey from escaping by instantaneously freezing moisture in the air.,neutral
